sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_200_2_1.txt,10,h1,4,0.0010,True
sigma-2,mglcs_10_200_2_1.txt,10,h2,4,0.0010,True
sigma-2,mglcs_10_200_2_1.txt,10,h3,4,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,10,h4,4,0.0010,True
sigma-2,mglcs_10_200_2_1.txt,10,h5,4,0.0020,True
sigma-2,mglcs_10_200_2_1.txt,10,h6,4,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,10,h7,4,0.0015,True
sigma-2,mglcs_10_200_2_2.txt,10,h1,3,0.0000,True
sigma-2,mglcs_10_200_2_2.txt,10,h2,3,0.0010,True
sigma-2,mglcs_10_200_2_2.txt,10,h3,3,0.0010,True
sigma-2,mglcs_10_200_2_2.txt,10,h4,3,0.0010,True
sigma-2,mglcs_10_200_2_2.txt,10,h5,3,0.0010,True
sigma-2,mglcs_10_200_2_2.txt,10,h6,3,0.0010,True
sigma-2,mglcs_10_200_2_2.txt,10,h7,3,0.0010,True
sigma-2,mglcs_10_200_2_3.txt,10,h1,2,0.0010,True
sigma-2,mglcs_10_200_2_3.txt,10,h2,2,0.0010,True
sigma-2,mglcs_10_200_2_3.txt,10,h3,2,0.0000,True
sigma-2,mglcs_10_200_2_3.txt,10,h4,2,0.0010,True
sigma-2,mglcs_10_200_2_3.txt,10,h5,2,0.0000,True
sigma-2,mglcs_10_200_2_3.txt,10,h6,2,0.0010,True
sigma-2,mglcs_10_200_2_3.txt,10,h7,2,0.0010,True
sigma-2,mglcs_10_200_2_4.txt,10,h1,2,0.0010,True
sigma-2,mglcs_10_200_2_4.txt,10,h2,2,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,10,h3,2,0.0010,True
sigma-2,mglcs_10_200_2_4.txt,10,h4,2,0.0010,True
sigma-2,mglcs_10_200_2_4.txt,10,h5,2,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,10,h6,2,0.0010,True
sigma-2,mglcs_10_200_2_4.txt,10,h7,2,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,10,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,10,h2,1,0.0010,True
sigma-2,mglcs_10_200_2_5.txt,10,h3,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,10,h4,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,10,h5,1,0.0015,True
sigma-2,mglcs_10_200_2_5.txt,10,h6,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,10,h7,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,10,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,10,h2,1,0.0010,True
sigma-2,mglcs_10_200_2_6.txt,10,h3,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,10,h4,1,0.0010,True
sigma-2,mglcs_10_200_2_6.txt,10,h5,1,0.0010,True
sigma-2,mglcs_10_200_2_6.txt,10,h6,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,10,h7,1,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,10,h1,4,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,10,h2,4,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,10,h3,4,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,10,h4,4,0.0015,True
sigma-2,mglcs_10_200_2_7.txt,10,h5,4,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,10,h6,4,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,10,h7,4,0.0020,True
sigma-2,mglcs_10_200_2_8.txt,10,h1,3,0.0010,True
sigma-2,mglcs_10_200_2_8.txt,10,h2,3,0.0010,True
sigma-2,mglcs_10_200_2_8.txt,10,h3,3,0.0000,True
sigma-2,mglcs_10_200_2_8.txt,10,h4,3,0.0010,True
sigma-2,mglcs_10_200_2_8.txt,10,h5,3,0.0010,True
sigma-2,mglcs_10_200_2_8.txt,10,h6,3,0.0015,True
sigma-2,mglcs_10_200_2_8.txt,10,h7,3,0.0000,True
sigma-2,mglcs_10_200_2_9.txt,10,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_9.txt,10,h2,1,0.0010,True
sigma-2,mglcs_10_200_2_9.txt,10,h3,1,0.0000,True
sigma-2,mglcs_10_200_2_9.txt,10,h4,1,0.0010,True
sigma-2,mglcs_10_200_2_9.txt,10,h5,1,0.0010,True
sigma-2,mglcs_10_200_2_9.txt,10,h6,1,0.0000,True
sigma-2,mglcs_10_200_2_9.txt,10,h7,1,0.0010,True
sigma-2,mglcs_10_50_2_0.txt,10,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,10,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,10,h3,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,10,h4,1,0.0010,True
sigma-2,mglcs_10_50_2_0.txt,10,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,10,h6,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,10,h7,1,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,10,h1,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,10,h2,2,0.0010,True
sigma-2,mglcs_10_50_2_1.txt,10,h3,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,10,h4,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,10,h5,2,0.0010,True
sigma-2,mglcs_10_50_2_1.txt,10,h6,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,10,h7,2,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,10,h1,2,0.0010,True
sigma-2,mglcs_10_50_2_2.txt,10,h2,2,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,10,h3,2,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,10,h4,2,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,10,h5,2,0.0010,True
sigma-2,mglcs_10_50_2_2.txt,10,h6,2,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,10,h7,2,0.0000,True
